Year,(Multiple Items),,
,,,
Row Labels,Average of tasmax-bcc-csm1-1(degC),Average of tasmin-bcc-csm1-1(degC),Sum of pr-bcc-csm1-1(mm)
1,1.873111342,-3.856680541,11235.20365
2,2.210319635,-5.382979452,7993.67998
3,6.237377732,-2.956066597,6612.96115
4,8.702419355,-2.422634409,3959.99712
5,13.1880437,1.157585848,2598.79475
6,17.54233333,4.301387097,1863.90162
7,23.5516129,8.574380853,741.0376
8,23.53372529,9.161373569,683.62289
9,17.52450538,5.771634409,2209.33073
10,9.835744017,1.442278876,6119.1413
11,3.549311828,-2.597537634,10816.2083
12,0.784526535,-4.857336108,11766.53098
Grand Total,10.76265036,0.734013954,66600.41007
