"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Future Climate Projections (Daily) - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4794 North,-120.9806 East" 
Variable List: 
tasmax: Max Daily Temperature from bcc-csm1-1 (China) RCP 8.5 (2006-2099)
tasmin: Min Daily Temperature from bcc-csm1-1 (China) RCP 8.5 (2006-2099)
pr: Precipitation from bcc-csm1-1 (China) RCP 8.5 (2006-2099)
********************************************************
Year,Month,Day,tasmax-bcc-csm1-1(degC),tasmin-bcc-csm1-1(degC),pr-bcc-csm1-1(mm)
2006,1,1,3.50,-0.64,21.88195
2006,1,2,5.88,0.88,8.1907
2006,1,3,3.98,-1.91,9.73985
2006,1,4,1.71,-4.12,0
2006,1,5,1.00,-3.57,14.00593
2006,1,6,-0.74,-5.77,19.06492
2006,1,7,0.22,-6.26,43.03286
2006,1,8,1.32,-4.59,52.49857
2006,1,9,0.58,-3.46,53.55877
2006,1,10,1.43,-4.53,12.30019
2006,1,11,-1.66,-7.02,1.87004
2006,1,12,-6.95,-17.57,0
2006,1,13,-3.36,-14.06,0
2006,1,14,-2.86,-6.98,4.47446
2006,1,15,-0.30,-4.14,4.95844
2006,1,16,-0.71,-6.62,1.64838
2006,1,17,-2.50,-8.68,4.78988
2006,1,18,-3.89,-11.32,6.94085
2006,1,19,-2.32,-8.17,0
2006,1,20,-3.70,-8.14,0
2006,1,21,-2.07,-7.46,13.64909
2006,1,22,-0.54,-5.34,11.12407
2006,1,23,0.41,-3.03,6.27599
2006,1,24,0.45,-3.00,0.53943
2006,1,25,1.03,-2.52,2.63703
2006,1,26,1.37,-3.21,0.65231
2006,1,27,0.71,-4.10,0
2006,1,28,1.15,-6.40,0
2006,1,29,-2.17,-7.37,0
2006,1,30,-3.43,-8.25,0
2006,1,31,-9.06,-12.59,0
2006,2,1,-5.09,-9.84,0.28459
2006,2,2,-2.44,-9.40,1.69522
2006,2,3,-1.37,-8.04,0.47536
2006,2,4,0.04,-10.76,35.45263
2006,2,5,1.52,-3.95,27.5858
2006,2,6,1.43,-5.02,7.47075
2006,2,7,3.49,-6.74,47.04338
2006,2,8,3.49,-3.00,7.20526
2006,2,9,4.33,-2.02,1.1478
2006,2,10,5.19,-1.82,2.04039
2006,2,11,3.76,-3.95,4.1497
2006,2,12,2.76,-7.25,0
2006,2,13,2.51,-6.44,0
2006,2,14,0.91,-5.27,1.29275
2006,2,15,0.86,-3.73,2.09516
2006,2,16,2.03,-5.34,0.37329
2006,2,17,1.75,-7.92,0
2006,2,18,2.64,-7.57,0
2006,2,19,3.70,-7.40,0
2006,2,20,3.23,-5.41,0
2006,2,21,4.15,-4.06,3.44037
2006,2,22,3.97,-5.72,23.67546
2006,2,23,-2.04,-9.72,17.42643
2006,2,24,0.14,-5.99,63.26175
2006,2,25,-0.02,-7.31,82.13618
2006,2,26,-0.02,-8.80,38.66657
2006,2,27,0.38,-8.01,4.94109
2006,2,28,-1.12,-7.47,1.17509
2006,3,1,-0.27,-5.84,25.13859
2006,3,2,1.94,-4.36,29.39289
2006,3,3,-1.15,-7.25,14.24004
2006,3,4,1.56,-4.75,7.78984
2006,3,5,1.76,-5.53,2.10819
2006,3,6,-1.10,-4.74,6.2785
2006,3,7,1.15,-10.26,3.11184
2006,3,8,1.14,-5.93,0.68845
2006,3,9,1.71,-8.90,0.33848
2006,3,10,3.22,-4.70,6.82645
2006,3,11,5.12,-3.09,36.7901
2006,3,12,5.80,-1.78,2.91454
2006,3,13,6.12,-3.13,54.65546
2006,3,14,8.42,0.71,32.9378
2006,3,15,6.18,-1.09,62.4327
2006,3,16,5.59,-3.14,14.2998
2006,3,17,3.93,-5.08,13.29545
2006,3,18,7.95,-3.33,3.44662
2006,3,19,8.65,-1.27,8.82244
