Year,Lower Emissions (RCP 4.5) Avg.,Lower Emissions (RCP 4.5) Range (low),Lower Emissions (RCP 4.5) Range (high),Higher Emissions (RCP 8.5) Avg.,Higher Emissions (RCP 8.5) Range (low),Higher Emissions (RCP 8.5) Range (high),Historic Avg.,Historic Range (low),Historic Range (high)
1950,,,,,,,1952.165684,1338.191482,2631.935301
1951,,,,,,,1954.490373,1340.876797,2633.335481
1952,,,,,,,1955.475244,1342.689228,2633.629213
1953,,,,,,,1955.308549,1343.245873,2633.267338
1954,,,,,,,1955.672434,1344.021716,2632.423834
1955,,,,,,,1955.666733,1344.738629,2630.755188
1956,,,,,,,1955.52221,1344.874106,2631.038677
1957,,,,,,,1955.70847,1345.894135,2629.553746
1958,,,,,,,1956.243118,1347.152107,2629.983396
1959,,,,,,,1956.549582,1348.350985,2630.830813
1960,,,,,,,1956.629151,1349.312309,2632.009402
1961,,,,,,,1956.543902,1350.346483,2632.507408
1962,,,,,,,1957.203476,1352.46741,2633.73938
1963,,,,,,,1958.16171,1355.109911,2637.013034
1964,,,,,,,1958.271352,1356.739889,2640.552443
1965,,,,,,,1958.323168,1357.6343,2644.396801
1966,,,,,,,1958.493613,1357.83904,2648.672114
1967,,,,,,,1958.821814,1357.887464,2653.356359
1968,,,,,,,1959.925352,1357.594196,2657.444269
1969,,,,,,,1961.281936,1357.346696,2662.641663
1970,,,,,,,1962.629991,1357.64735,2668.289004
1971,,,,,,,1963.580342,1357.865923,2674.123043
1972,,,,,,,1964.160048,1357.543199,2679.880465
1973,,,,,,,1964.627673,1357.255097,2684.493961
1974,,,,,,,1965.734512,1357.878565,2689.464694
1975,,,,,,,1966.097393,1357.946987,2694.769756
1976,,,,,,,1966.642575,1358.856346,2699.622035
1977,,,,,,,1967.314854,1360.034438,2703.299007
1978,,,,,,,1967.28929,1361.192751,2708.395309
1979,,,,,,,1967.439253,1362.75196,2712.063316
1980,,,,,,,1967.492358,1363.197313,2715.692566
1981,,,,,,,1967.463475,1363.504375,2719.034654
1982,,,,,,,1967.714206,1363.411795,2722.659991
1983,,,,,,,1967.506136,1363.050245,2725.237436
1984,,,,,,,1966.9334,1362.607583,2725.620249
1985,,,,,,,1967.175459,1362.980331,2725.336927
1986,,,,,,,1966.899798,1362.715306,2724.095701
1987,,,,,,,1966.482419,1362.236079,2723.821914
1988,,,,,,,1966.333645,1362.127127,2722.784031
1989,,,,,,,1965.2461,1361.552892,2720.559612
1990,,,,,,,1964.264036,1361.723373,2717.072974
1991,,,,,,,1963.59965,1361.393238,2712.760474
1992,,,,,,,1962.865439,1361.005554,2708.335267
1993,,,,,,,1962.042193,1360.172305,2703.476938
1994,,,,,,,1961.692906,1358.713574,2701.799217
1995,,,,,,,1961.228102,1356.952636,2699.787592
1996,,,,,,,1961.671872,1356.410016,2697.651373
1997,,,,,,,1962.005286,1354.910333,2697.18092
1998,,,,,,,1961.957262,1352.46692,2696.026742
1999,,,,,,,1962.630241,1349.413547,2695.392211
2000,,,,,,,1963.249728,1345.839217,2696.304678
2001,,,,,,,1964.422899,1342.675544,2698.90279
2002,,,,,,,1965.283159,1340.054488,2700.801469
2003,,,,,,,1966.081618,1337.92059,2703.169992
2004,,,,,,,1966.789167,1335.674884,2703.614257
2005,,,,,,,1967.212366,1332.354189,2704.99894
2006,1977.730018,1342.330213,2719.776381,1967.286315,1328.676913,2708.40204,,,
2007,1979.195881,1341.320519,2723.038985,1968.198895,1326.32843,2711.123928,,,
2008,1980.491153,1339.928172,2724.995895,1969.167297,1325.469466,2713.654984,,,
2009,1981.194017,1338.989256,2726.838433,1969.630475,1325.171063,2716.554702,,,
2010,1982.099445,1338.945873,2727.882769,1970.26095,1325.700707,2719.436695,,,
2011,1983.073254,1338.614292,2730.335705,1970.937779,1327.289845,2722.63528,,,
2012,1983.871355,1337.828317,2732.842216,1971.95524,1329.07481,2727.310013,,,
2013,1985.571722,1338.179511,2736.229585,1973.299614,1330.52988,2733.934531,,,
2014,1986.995403,1339.039834,2740.568649,1974.476891,1332.360364,2740.241484,,,
2015,1989.01078,1340.400041,2745.355525,1975.770307,1335.772998,2744.947861,,,
2016,1990.923339,1341.671833,2750.027548,1977.085845,1339.135457,2748.126104,,,
2017,1992.679351,1343.434853,2754.385534,1977.616039,1341.55992,2750.140338,,,
2018,1994.247327,1345.548123,2758.85906,1978.383646,1343.919694,2751.090903,,,
2019,1996.039593,1347.030478,2763.581229,1979.670685,1347.133353,2753.147933,,,
2020,1997.490588,1348.055838,2767.943475,1980.993495,1351.577359,2753.869525,,,
2021,1998.981082,1349.366944,2770.296369,1982.045236,1355.266633,2753.317209,,,
2022,2000.465572,1350.706503,2772.088686,1982.740457,1359.041526,2751.367415,,,
2023,2001.835831,1350.530249,2774.763204,1984.053526,1362.889406,2748.394675,,,
2024,2003.700868,1350.386758,2774.95393,1985.726046,1366.663612,2746.314249,,,
2025,2004.876518,1350.064195,2773.35916,1987.564576,1370.108403,2746.1119,,,
2026,2006.215809,1348.915355,2772.064916,1989.371535,1374.450863,2745.579089,,,
2027,2007.288836,1346.438861,2771.584186,1991.451065,1379.33622,2744.020404,,,
2028,2009.052264,1345.05948,2772.284431,1993.438519,1383.211525,2743.501812,,,
2029,2011.028209,1345.021348,2772.981437,1995.734851,1386.535097,2741.725505,,,
2030,2013.528707,1344.879962,2774.875889,1998.31918,1388.038284,2741.433883,,,
2031,2015.669206,1343.776219,2776.837361,2001.05492,1389.839866,2742.01926,,,
2032,2017.728641,1342.621548,2777.921391,2003.63187,1390.41354,2742.27591,,,
2033,2019.682747,1341.774469,2778.865745,2005.783095,1391.422444,2741.896768,,,
2034,2021.24512,1340.515705,2780.962483,2008.170747,1393.124489,2740.31211,,,
2035,2022.75831,1339.276032,2782.295926,2010.627138,1394.70392,2738.742232,,,
2036,2023.948245,1339.443051,2782.998229,2012.891718,1394.528815,2737.051247,,,
2037,2025.535027,1340.508443,2783.935615,2015.138419,1393.901685,2736.830789,,,
2038,2026.675915,1340.520487,2784.594238,2017.599788,1393.454524,2737.052549,,,
2039,2028.073908,1340.372833,2786.01522,2019.701368,1393.140521,2737.1561,,,
2040,2029.13604,1340.410283,2786.85628,2021.479117,1392.646813,2736.494167,,,
2041,2030.491975,1341.809101,2788.606497,2023.201321,1390.804936,2735.984494,,,
2042,2031.51818,1342.885247,2790.556385,2025.184409,1390.55697,2736.504035,,,
2043,2032.578316,1344.755437,2791.176683,2027.537471,1390.782867,2736.289672,,,
2044,2033.815055,1347.54002,2790.149079,2029.409136,1389.945987,2739.040315,,,
2045,2035.543968,1351.211269,2792.741466,2031.344318,1389.537858,2740.830446,,,
2046,2037.813759,1355.102317,2796.038707,2033.59733,1389.582359,2743.734299,,,
2047,2039.745336,1359.569334,2798.502579,2035.671525,1388.947101,2747.08373,,,
2048,2042.006194,1364.902747,2801.099912,2037.40313,1388.281195,2750.485833,,,
2049,2043.657794,1369.093211,2803.878153,2038.756373,1387.413719,2755.15949,,,
2050,2044.871827,1372.603035,2805.978999,2039.849638,1386.321214,2761.359668,,,
2051,2046.060469,1375.694789,2807.880098,2041.089612,1386.239353,2767.353529,,,
2052,2047.224707,1379.684077,2811.033533,2042.475558,1385.61799,2772.567024,,,
2053,2048.165171,1382.922786,2814.065041,2043.995925,1384.451183,2780.785086,,,
2054,2048.793454,1385.647919,2817.08638,2045.784608,1383.264071,2788.29189,,,
2055,2049.034086,1386.949953,2818.027296,2047.296489,1381.814069,2796.609667,,,
2056,2049.582976,1388.383005,2819.401167,2048.986725,1381.050311,2805.030539,,,
2057,2049.959716,1388.59506,2821.299189,2051.267916,1381.484293,2813.769119,,,
2058,2049.953202,1388.1546,2822.170498,2054.112038,1382.613733,2823.648349,,,
2059,2050.086239,1388.832359,2822.05684,2057.307766,1383.41547,2834.055307,,,
2060,2050.465456,1389.578658,2821.921201,2061.328628,1384.900072,2844.115662,,,
2061,2050.476612,1390.578066,2821.673154,2065.511521,1386.785163,2854.36015,,,
2062,2050.436416,1390.56891,2820.149161,2069.404894,1388.43238,2865.93685,,,
2063,2050.678382,1390.983441,2819.910143,2073.027152,1389.752958,2876.20908,,,
2064,2050.852261,1391.117464,2820.72641,2076.255839,1391.154835,2886.838354,,,
2065,2051.06003,1391.519414,2822.079957,2079.829566,1392.731553,2895.995825,,,
2066,2050.32097,1391.008856,2822.269926,2083.183947,1393.814157,2905.405577,,,
2067,2050.162959,1390.889131,2822.945269,2086.089123,1394.792313,2913.539737,,,
2068,2049.858736,1390.961988,2823.936446,2088.889732,1395.311542,2920.627537,,,
2069,2049.662249,1390.40367,2825.34912,2091.961108,1396.220846,2927.286717,,,
2070,2049.549816,1390.531731,2826.937483,2094.667623,1397.321642,2933.067797,,,
2071,2049.991583,1391.011229,2828.73292,2096.882399,1398.187053,2937.170021,,,
2072,2050.610231,1391.439517,2830.1241,2099.030823,1398.982874,2939.742692,,,
2073,2051.407052,1391.759439,2830.679638,2100.821338,1399.304689,2942.247677,,,
2074,2052.576472,1393.262198,2832.001338,2102.9266,1400.088288,2943.00238,,,
2075,2054.462979,1395.52029,2833.518584,2104.616915,1400.318774,2944.760461,,,
2076,2056.954929,1399.530915,2835.32468,2106.738621,1400.933197,2945.861676,,,
2077,2058.754558,1403.43064,2836.842556,2108.88581,1401.342796,2947.639978,,,
2078,2060.664577,1407.014765,2837.964955,2110.508584,1401.735765,2948.599611,,,
2079,2062.374487,1410.902981,2839.173776,2111.582957,1400.872668,2949.027738,,,
2080,2064.3697,1414.423253,2840.726031,2112.518606,1399.824788,2949.484899,,,
2081,2066.047611,1417.272382,2842.34658,2113.212983,1399.027263,2950.552128,,,
2082,2068.088471,1420.714973,2844.315919,2113.945903,1398.348138,2951.797226,,,
2083,2070.117025,1423.743799,2846.551642,2115.012763,1398.407959,2952.073018,,,
2084,2072.079796,1426.330827,2847.854062,2115.697978,1397.772094,2951.764065,,,
2085,2073.682499,1429.314189,2849.758657,2117.070954,1397.550065,2952.406894,,,
2086,2075.140228,1430.897,2851.750241,2117.909647,1396.862929,2953.610375,,,
2087,2077.204793,1433.529423,2852.631058,2119.040984,1396.565285,2954.574567,,,
2088,2078.798557,1436.65254,2854.104342,2120.321344,1396.365289,2956.270633,,,
2089,2080.659888,1439.429297,2855.409868,2121.941522,1397.858628,2956.932449,,,
2090,2081.959578,1442.717475,2855.717946,2123.463659,1398.545479,2957.689097,,,
2091,2083.284517,1446.288957,2855.191215,2125.084508,1398.398581,2958.573029,,,
2092,2084.26137,1449.586205,2855.731398,2127.137988,1399.005455,2959.348913,,,
2093,2084.866776,1453.75914,2856.131075,2129.084346,1399.793125,2960.762164,,,
2094,2084.799183,1458.07519,2856.642972,2131.887888,1402.394196,2962.954378,,,
2095,2084.25198,1461.384524,2854.88982,2133.260953,1404.282861,2961.242993,,,
2096,2082.533146,1465.087147,2852.620978,2135.046588,1408.05246,2956.834562,,,
2097,2079.91724,1465.893237,2851.244363,2135.029292,1410.350885,2950.842943,,,
2098,2078.006811,1465.550133,2848.170117,2135.200333,1412.166985,2944.940315,,,
2099,2076.093233,1466.199311,2846.436635,2135.360104,1412.508789,2943.013183,,,
