"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Future Climate Projections (Daily) - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4794 North,-120.9806 East" 
Variable List: 
tasmax: Max Daily Temperature from GFDL-ESM2M (USA) RCP 8.5 (2006-2099)
tasmin: Min Daily Temperature from GFDL-ESM2M (USA) RCP 8.5 (2006-2099)
pr: Precipitation from GFDL-ESM2M (USA) RCP 8.5 (2006-2099)
********************************************************
Year,Month,Day,tasmax-GFDL-ESM2M(degC),tasmin-GFDL-ESM2M(degC),pr-GFDL-ESM2M(mm)
2006,1,1,-1.68,-8.74,20.24485
2006,1,2,-1.52,-11.70,21.20953
2006,1,3,-0.56,-12.31,0
2006,1,4,0.91,-6.31,0
2006,1,5,0.94,-5.83,0.88929
2006,1,6,0.86,-7.16,0
2006,1,7,1.07,-6.91,0
2006,1,8,1.83,-2.73,11.3383
2006,1,9,0.48,-3.66,27.50977
2006,1,10,-0.41,-12.08,0
2006,1,11,-0.29,-8.74,10.1204
2006,1,12,0.60,-6.15,0
2006,1,13,0.85,-5.95,11.0582
2006,1,14,0.78,-5.54,1.4166
2006,1,15,0.13,-11.05,51.90041
2006,1,16,0.69,-5.51,26.63746
2006,1,17,-0.72,-10.40,5.99077
2006,1,18,-2.50,-6.82,18.66959
2006,1,19,-3.24,-6.78,11.80786
2006,1,20,-2.86,-10.89,2.12701
2006,1,21,-5.73,-11.55,0
2006,1,22,-5.61,-12.50,0
2006,1,23,-5.94,-12.41,1.13935
2006,1,24,-6.38,-14.24,0
2006,1,25,-6.76,-14.17,0
2006,1,26,-5.85,-14.75,0
2006,1,27,-4.85,-13.47,0
2006,1,28,-3.92,-10.90,0
2006,1,29,-4.59,-12.44,0
2006,1,30,-3.94,-12.34,0.44587
2006,1,31,-4.03,-11.09,11.927
2006,2,1,-2.55,-16.88,1.34199
2006,2,2,-8.19,-18.43,0.36032
2006,2,3,-0.14,-15.38,3.08711
2006,2,4,-2.91,-9.07,45.78374
2006,2,5,-1.76,-11.03,9.55658
2006,2,6,-4.94,-15.99,1.73426
2006,2,7,-7.59,-17.50,0.3999
2006,2,8,-4.73,-14.36,0
2006,2,9,-3.96,-12.18,0
2006,2,10,-3.50,-10.93,5.58574
2006,2,11,-3.08,-10.36,0.83644
2006,2,12,-2.60,-10.36,0.29036
2006,2,13,-2.00,-10.04,2.93077
2006,2,14,-0.38,-7.16,9.96372
2006,2,15,-3.55,-8.78,16.70331
2006,2,16,-2.55,-10.27,1.37234
2006,2,17,-1.64,-8.26,6.56087
2006,2,18,-1.65,-8.71,1.92758
2006,2,19,0.34,-7.65,25.93383
2006,2,20,1.48,-4.75,31.58232
2006,2,21,3.00,-5.98,82.34412
2006,2,22,3.35,-2.46,86.78258
2006,2,23,1.60,-4.33,49.26584
2006,2,24,1.77,-3.75,23.14556
2006,2,25,2.22,-4.20,34.95096
2006,2,26,4.54,-2.79,67.5069
2006,2,27,4.73,-2.20,30.9606
2006,2,28,3.85,-7.38,25.76823
2006,3,1,3.71,-8.20,7.39402
2006,3,2,8.88,-1.28,13.36248
2006,3,3,6.24,-3.60,2.86873
2006,3,4,7.87,-4.45,0
2006,3,5,8.35,-3.83,0
2006,3,6,8.61,-3.11,2.11758
2006,3,7,8.47,-4.40,0.59037
2006,3,8,9.21,-2.44,0.80611
2006,3,9,9.13,-1.33,0
2006,3,10,10.09,-2.84,0
2006,3,11,10.13,-5.34,0
2006,3,12,11.06,-4.18,0
2006,3,13,10.31,-5.52,0
2006,3,14,1.85,-7.50,0.57935
2006,3,15,-0.80,-8.78,1.29584
2006,3,16,-1.04,-9.58,0
2006,3,17,3.42,-8.44,0
2006,3,18,4.03,-5.31,1.4417
2006,3,19,2.08,-5.42,6.97713
2006,3,20,3.42,-6.15,6.33651
2006,3,21,4.77,-6.34,1.77657
2006,3,22,5.49,-6.40,2.02672
2006,3,23,5.46,-5.74,0
2006,3,24,9.49,-5.28,0.73924
2006,3,25,10.82,-2.85,0
2006,3,26,12.22,-3.99,0
2006,3,27,12.66,-3.63,0.72186
2006,3,28,12.85,-4.44,0
2006,3,29,13.24,-3.28,0
2006,3,30,13.18,-2.33,0
2006,3,31,14.68,-2.57,0
2006,4,1,16.07,-2.98,0
2006,4,2,15.65,-2.22,0
2006,4,3,17.87,1.27,0
2006,4,4,17.53,-2.56,0.28563
2006,4,5,12.96,-5.80,0.29757
2006,4,6,18.74,-2.37,0
2006,4,7,17.88,-2.24,0.56563
2006,4,8,10.96,-2.37,0
2006,4,9,5.39,-2.84,9.40094
2006,4,10,6.80,-5.05,4.55961
2006,4,11,5.37,-3.35,2.30502
2006,4,12,6.43,-3.45,0.44178
2006,4,13,9.53,-2.84,0
2006,4,14,8.61,-3.85,0.28582
