"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4833 North,-121.0167 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm)
1979,1,1,-21.45,-15.25,0
1979,1,2,-16.65,-8.35,0
1979,1,3,-15.85,-9.75,0
1979,1,4,-16.85,-11.85,0
1979,1,5,-17.85,-9.05,0
1979,1,6,-16.15,-9.35,0
1979,1,7,-16.45,-9.95,0
1979,1,8,-16.15,-7.65,0
1979,1,9,-12.95,-6.65,5.3
1979,1,10,-10.85,-1.15,29.1
1979,1,11,-7.65,-2.15,2.3
1979,1,12,-6.85,-2.35,4
1979,1,13,-10.35,-4.15,2.1
1979,1,14,-11.05,-5.05,5.5
1979,1,15,-13.25,-4.75,0.8
1979,1,16,-14.05,-4.15,0
1979,1,17,-11.55,-3.85,0
1979,1,18,-11.05,-2.55,2.7
1979,1,19,-8.45,-1.35,6.5
1979,1,20,-5.45,0.35,15.8
1979,1,21,-11.25,-0.15,4.6
1979,1,22,-12.85,-4.05,0.3
1979,1,23,-10.45,-2.25,0.8
1979,1,24,-12.25,-3.25,0.5
1979,1,25,-13.85,-5.65,0.9
1979,1,26,-15.25,-4.65,1.9
1979,1,27,-10.05,-5.55,2.3
1979,1,28,-14.85,-5.65,0.5
1979,1,29,-18.05,-7.85,0
1979,1,30,-18.35,-9.15,1
1979,1,31,-20.15,-10.65,0
1979,2,1,-21.05,-10.15,0
1979,2,2,-19.25,-7.15,1.1
1979,2,3,-10.35,-4.55,3.6
1979,2,4,-7.75,-1.45,6.1
1979,2,5,-6.55,0.25,27.7
1979,2,6,-6.25,0.45,62.7
1979,2,7,-8.35,-0.35,17.2
1979,2,8,-8.25,-0.25,13.6
1979,2,9,-2.85,-0.35,7.6
1979,2,10,-4.45,-0.65,8.9
1979,2,11,-4.45,-0.15,14.3
1979,2,12,-1.85,0.75,14.8
1979,2,13,-6.15,0.45,4.9
1979,2,14,-11.15,-5.35,0
1979,2,15,-8.45,-3.95,4.8
1979,2,16,-7.75,-2.35,11.3
1979,2,17,-9.45,-0.45,12
1979,2,18,-5.25,-1.15,4
1979,2,19,-9.25,-3.55,5.5
1979,2,20,-11.95,-3.15,5.6
1979,2,21,-9.55,-2.45,4
1979,2,22,-11.45,-4.15,2.3
1979,2,23,-8.45,-2.65,6.4
1979,2,24,-6.35,-0.75,14.9
1979,2,25,-1.75,1.35,10.3
1979,2,26,-4.65,0.35,4.8
1979,2,27,-6.85,-1.05,4.8
1979,2,28,-7.65,-2.05,0
1979,3,1,-10.05,-0.25,0
1979,3,2,-10.15,0.95,0
1979,3,3,-6.45,-0.35,9.5
1979,3,4,-4.35,3.25,30.5
1979,3,5,-1.25,6.75,28.8
1979,3,6,1.75,11.15,10.5
1979,3,7,-4.45,5.15,3.2
1979,3,8,-6.85,4.05,0
1979,3,9,-4.95,4.55,0
1979,3,10,-4.45,8.45,0
1979,3,11,-1.25,11.35,0
1979,3,12,-5.25,6.25,0
1979,3,13,-2.85,7.95,0
1979,3,14,-2.35,9.95,0.7
1979,3,15,-2.15,5.65,9.4
1979,3,16,-6.35,2.45,0
1979,3,17,-6.65,4.15,1.9
1979,3,18,-3.95,3.85,0
1979,3,19,-2.95,6.85,0
1979,3,20,-2.55,6.95,0
1979,3,21,-3.55,7.15,0
1979,3,22,-3.05,8.45,0
1979,3,23,-3.05,11.85,0.5
1979,3,24,-2.35,7.55,1.4
1979,3,25,-5.45,4.75,0
1979,3,26,-6.35,1.55,5
1979,3,27,-3.85,3.25,4.4
1979,3,28,-3.75,2.35,4.5
1979,3,29,-6.45,-0.05,1.1
1979,3,30,-6.05,-1.65,5.7
1979,3,31,-6.75,0.05,1.7
1979,4,1,-5.65,1.45,3
1979,4,2,-5.35,2.05,2.3
1979,4,3,-5.35,1.65,4.5
1979,4,4,-3.95,6.35,4.5
1979,4,5,-2.95,11.45,0
1979,4,6,-1.05,7.85,0.3
1979,4,7,-4.15,7.85,0.4
1979,4,8,-1.45,6.25,3.9
1979,4,9,-4.75,3.05,2
1979,4,10,-6.45,2.75,4.8
1979,4,11,-3.95,1.65,5.2
1979,4,12,-6.05,3.25,15.7
1979,4,13,-4.75,1.65,5.2
1979,4,14,-5.75,3.55,0.6
1979,4,15,-5.05,3.25,8.3
1979,4,16,-3.65,7.95,4.9
1979,4,17,-3.65,3.75,2
1979,4,18,-5.55,3.25,0.9
1979,4,19,-4.85,2.75,0.5
1979,4,20,-6.15,7.85,0
1979,4,21,-3.15,9.95,0
1979,4,22,-0.85,11.55,0
1979,4,23,-0.35,8.55,0.6
1979,4,24,0.55,9.15,0.6
1979,4,25,-1.55,12.85,0
1979,4,26,0.35,15.75,0
1979,4,27,3.85,17.05,0
1979,4,28,2.85,17.35,0
1979,4,29,2.65,16.55,0
1979,4,30,2.85,16.85,0
1979,5,1,3.15,14.05,0.7
1979,5,2,0.35,12.95,0
1979,5,3,1.75,14.65,0
1979,5,4,4.35,9.05,8.6
1979,5,5,2.15,9.25,6
1979,5,6,-0.25,7.45,5.1
1979,5,7,-2.25,7.95,0
1979,5,8,-2.35,9.75,0.7
1979,5,9,-1.85,10.85,0.3
1979,5,10,-1.55,8.05,0.3
1979,5,11,-2.25,13.25,0.3
1979,5,12,0.55,10.25,0
1979,5,13,0.55,13.95,0
1979,5,14,2.25,17.35,0
1979,5,15,4.15,15.45,0.7
1979,5,16,1.35,11.85,0.5
1979,5,17,-0.05,14.15,1.2
1979,5,18,0.95,12.35,0
1979,5,19,-0.65,16.05,0
1979,5,20,3.75,19.05,0
1979,5,21,3.85,18.85,0
1979,5,22,6.55,21.95,0.9
1979,5,23,7.15,16.45,0
1979,5,24,1.85,17.35,0.7
1979,5,25,3.95,21.25,0
1979,5,26,3.05,16.05,0.9
1979,5,27,-3.55,6.55,7.5
1979,5,28,-3.75,6.25,0.9
1979,5,29,-2.75,10.95,0.4
1979,5,30,-0.75,16.55,0
1979,5,31,3.45,18.85,0
1979,6,1,6.55,21.45,0
1979,6,2,7.15,23.35,0
1979,6,3,6.95,20.85,0
1979,6,4,5.75,15.65,0
1979,6,5,4.25,10.75,3.7
1979,6,6,-1.65,8.95,0.5
1979,6,7,-1.25,13.25,0
1979,6,8,0.65,17.45,0
1979,6,9,5.55,20.55,0
1979,6,10,7.35,20.45,0
1979,6,11,6.45,20.95,0
1979,6,12,3.15,16.65,0
1979,6,13,-0.55,10.35,2.1
1979,6,14,-1.05,13.25,0
1979,6,15,-0.45,14.95,0
1979,6,16,0.75,11.45,6.1
1979,6,17,2.25,11.15,0.9
1979,6,18,4.95,15.55,0.5
1979,6,19,1.05,14.05,0.6
1979,6,20,-0.15,15.15,0
1979,6,21,0.95,15.95,0
1979,6,22,1.55,17.55,0
1979,6,23,2.15,17.65,0
1979,6,24,4.15,21.25,0
1979,6,25,6.25,23.35,0
1979,6,26,7.15,23.85,0
1979,6,27,6.65,22.85,0
1979,6,28,7.65,24.95,0
1979,6,29,7.15,19.05,0
1979,6,30,1.95,11.45,10.2
1979,7,1,1.45,7.55,8.5
1979,7,2,-3.05,14.85,0.4
1979,7,3,2.35,21.35,0
1979,7,4,7.75,20.95,0.6
1979,7,5,5.75,21.95,1.1
1979,7,6,7.35,21.85,0
1979,7,7,5.85,20.35,0
1979,7,8,7.45,18.75,1.8
1979,7,9,9.95,24.15,11.5
1979,7,10,5.85,16.75,3.8
1979,7,11,5.55,17.15,1.7
