Month,Hist_prcp,Hist_taAvg,C4_prcp,C4_taAvg,N4_prcp,N4_taAvg,US4_prcp,US4_taAvg
1,286.734375,3.049143145,367.6,-1.0,410.5675173,-2.124317204,355.3018367,3.243532258
2,197.19375,3.770691579,259.5,-1.6,217.5167003,-1.62955234,278.74296,4.056542488
3,167.928125,4.573790323,207.7,1.7,200.76799,0.859451613,231.4254387,4.762564516
4,100.784375,5.21953125,127.7,3.2,119.3134307,3.227261111,124.8418093,5.615844444
5,62.928125,5.827469758,84.5,7.2,63.81774533,7.986064516,89.76243567,5.86461828
6,45.140625,6.22703125,60.4,10.9,49.31163133,12.32102222,57.38593167,6.27245
7,16.50625,6.970967742,24.2,16.1,21.629223,16.83953763,26.48595733,7.405096774
8,23.609375,6.571068548,22.6,16.4,21.745232,16.54896774,25.22907867,7.198215054
9,52.925,5.590572917,70.0,11.7,59.16310233,11.87237222,51.761292,6.268116667
10,178.003125,3.860209803,200.4,5.6,175.67647,5.443634409,165.955714,4.328913978
11,277.7548387,2.896236559,359.1,0.5,364.5543687,-0.747622222,364.9359177,3.120355556
12,272.9387097,2.897762747,386.7,-2.0,362.7729987,-3.436150538,316.072946,3.205790323
