"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Future Climate Projections (Daily) - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4794 North,-120.9806 East" 
Variable List: 
tasmax: Max Daily Temperature from NorESM1-M (Norway) RCP 4.5 (2006-2099)
tasmin: Min Daily Temperature from NorESM1-M (Norway) RCP 4.5 (2006-2099)
pr: Precipitation from NorESM1-M (Norway) RCP 4.5 (2006-2099)
********************************************************
Year,Month,Day,tasmax-NorESM1-M(degC),tasmin-NorESM1-M(degC),pr-NorESM1-M(mm)
2006,1,1,0.74,-4.96,24.23932
2006,1,2,1.92,-4.41,69.6171
2006,1,3,1.49,-4.28,38.20242
2006,1,4,2.96,-6.94,33.21425
2006,1,5,1.75,-2.86,21.63912
2006,1,6,1.14,-2.84,28.75471
2006,1,7,0.94,-5.14,19.93062
2006,1,8,0.82,-4.50,42.04623
2006,1,9,1.70,-3.14,43.69488
2006,1,10,0.34,-7.55,0.66305
2006,1,11,-1.70,-8.42,0
2006,1,12,-2.84,-8.48,0
2006,1,13,-0.82,-7.78,0
2006,1,14,-0.96,-6.97,0.40262
2006,1,15,-0.15,-6.26,18.82568
2006,1,16,0.21,-5.46,24.04795
2006,1,17,1.08,-4.59,4.89752
2006,1,18,-1.48,-6.88,10.65462
2006,1,19,1.47,-5.58,18.69569
2006,1,20,-0.14,-7.26,0.42479
2006,1,21,-0.96,-7.52,6.3361
2006,1,22,0.30,-5.66,4.95443
2006,1,23,-0.70,-7.21,19.68603
2006,1,24,0.82,-5.25,10.35425
2006,1,25,1.36,-5.78,2.34704
2006,1,26,0.72,-7.89,0
2006,1,27,1.77,-7.52,0
2006,1,28,1.98,-7.22,0
2006,1,29,1.86,-6.95,0
2006,1,30,2.11,-7.31,0
2006,1,31,2.06,-9.53,0
2006,2,1,3.43,-8.19,0
2006,2,2,0.46,-10.07,0
2006,2,3,-6.70,-15.46,0
2006,2,4,-4.70,-12.81,0
2006,2,5,-6.12,-12.33,1.81359
2006,2,6,-3.14,-13.75,0
2006,2,7,-0.69,-10.20,0.37458
2006,2,8,-1.11,-9.36,1.19346
2006,2,9,-1.01,-8.36,8.99724
2006,2,10,1.64,-4.44,6.00875
2006,2,11,0.73,-6.35,34.29677
2006,2,12,1.68,-4.57,57.34777
2006,2,13,2.32,-4.80,29.89373
2006,2,14,6.81,1.72,53.22507
2006,2,15,4.91,-3.31,43.05217
2006,2,16,2.74,-7.17,0.50154
2006,2,17,4.89,-7.16,0
2006,2,18,6.64,-5.06,0
2006,2,19,9.11,-3.39,0
2006,2,20,8.17,-1.95,0.31778
2006,2,21,4.74,-3.14,9.64111
2006,2,22,4.49,1.06,10.90869
2006,2,23,4.33,-0.93,37.13961
2006,2,24,3.54,-7.24,0.64444
2006,2,25,8.43,-6.41,0
2006,2,26,8.61,-4.79,0
2006,2,27,8.78,-4.46,0.44379
2006,2,28,6.45,-5.41,0
