MON,TEMP,UPE,APE,PREC,DIFF,ST,DST,AE,DEF,Q,SMT,SST,In,Out,In-Out,Change in (SST+ST)
Jan,-6.7,0,0,116,-1,71,0,0,0,0,0,317,116,0,116,117
Feb,-3.6,0,0,78,0,71,0,0,0,0,0,395,78,0,78,78
Mar,-0.3,0,0,62,114,150,79,0,0,35,71,343,62,35,27,27
Apr,3.4,24,28,40,355,150,0,28,0,355,343,0,40,383,-343,-343
May,7.6,48,62,29,-33,117,-33,62,0,0,0,0,29,62,-33,-33
Jun,11.5,67,89,26,-63,65,-52,79,10,0,0,0,26,79,-53,-52
Jul,15.1,84,113,11,-102,24,-41,51,62,0,0,0,11,51,-40,-41
Aug,14.8,83,101,16,-85,11,-13,29,72,0,0,0,16,29,-13,-13
Sep,10.5,62,64,26,-38,7,-4,29,35,0,0,0,26,29,-3,-4
Oct,4.4,30,28,60,32,38,31,28,0,0,0,0,60,28,32,31
Nov,-1.8,0,0,111,33,71,33,0,0,0,0,78,111,0,111,111
Dec,-5.7,0,0,122,0,71,0,0,0,0,0,200,122,0,122,122
